"","id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid2","race","hispanic","ed","sud_hx"
"1",1,5,5,5,5,5,5,5,5,5,5,3,4,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,4,5,5,2,3,2,3,5,3,5,22,"Woman","Yes","White",NA,"Bachelor’s Degree","No"
"2",2,2,5,5,4,5,4,1,1,5,4,3,4,1,3,4,2,1,3,1,2,5,3,1,5,1,1,4,1,4,4,1,1,2,4,3,4,1,1,1,1,4,2,5,5,3,4,61,"Man","Yes","White","No","Bachelor’s Degree","No"
"3",3,1,4,4,3,4,1,2,1,5,4,4,3,1,1,2,2,1,1,1,1,4,1,3,4,3,2,2,4,4,4,4,4,4,1,5,5,1,2,1,5,5,3,5,3,3,4,63,"Woman","Yes","White","No","Associate’s Degree","No"
"4",4,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5,3,1,5,1,4,5,4,4,35,"Man","Yes","White",NA,"Bachelor’s Degree","No"
"5",5,2,5,5,4,5,4,1,1,4,3,3,4,1,1,4,2,2,4,1,1,4,3,2,3,1,1,3,3,5,3,3,4,4,1,3,2,2,3,1,4,4,3,4,4,2,3,33,"Woman","Yes","White","No","High School","No"
"6",6,5,4,5,5,5,5,5,5,5,5,3,4,1,2,3,4,4,4,5,5,5,5,5,4,3,3,4,5,5,5,3,3,5,4,2,2,5,3,3,3,4,2,2,5,3,5,35,"Man","Yes","White","No","Bachelor’s Degree","No"
"7",7,3,5,5,5,5,5,5,4,4,4,3,4,1,3,5,2,2,2,2,4,4,3,4,4,3,3,5,4,5,4,3,3,3,2,2,3,2,5,2,4,4,2,4,4,3,4,27,"Man","Yes","White","No","Bachelor’s Degree","No"
"8",8,3,3,3,3,3,3,2,2,4,4,3,3,1,2,3,2,2,3,2,2,4,2,3,3,2,2,3,3,3,4,4,4,4,2,3,3,2,4,1,4,4,2,4,3,2,3,52,"Man","Yes","White","No","High School","Yes"
"9",9,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,4,4,3,2,3,2,2,4,3,4,33,"Non-Binary, Agender, or Other","Yes","White","No","High School","No"
"10",10,3,5,4,4,5,5,3,1,5,NA,1,5,1,1,5,4,5,5,3,1,5,1,5,5,3,5,1,5,5,5,3,4,1,1,2,3,1,5,1,4,4,1,5,4,1,5,39,"Woman","Yes","Black or African American","No","Professional Degree (J.D., M.D., etc.)","No"
"11",11,3,5,4,3,4,4,3,3,4,5,2,3,1,3,4,2,4,3,3,3,5,4,4,3,1,1,4,4,5,5,3,3,5,3,1,2,4,3,2,2,3,1,4,5,4,4,40,"Woman","Yes","Asian or Asian American","No","Bachelor’s Degree","No"
"12",12,4,5,4,3,4,5,4,3,NA,4,2,4,1,3,5,5,4,5,5,3,3,4,4,4,NA,3,4,4,4,5,2,4,4,3,1,2,4,3,3,2,3,2,2,4,3,3,26,"Non-Binary, Agender, or Other","Prefer not to say","White","No","High School","No"
