"","ResponseId","PROLIFIC_PID","Q_RecaptchaScore","Duration (in seconds)","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid1_4_TEXT","gid2","race-eth-id_1","race-eth-id_2","race-eth-id_3","race-eth-id_4","race-eth-id_5","race-eth-id_6","race-eth-id_7","race-eth-id_8","race-eth-choice","ed","sud_hx"
"1","R_9SPQaVKO9foz4Yx","6346bf5c92e248ee80e12c8e",1,261,5,5,5,5,11,5,5,5,5,11,7,10,1,4,11,11,10,11,10,11,9,11,11,11,11,11,11,11,8,11,11,11,11,11,7,7,11,11,11,7,7,7,8,11,11,11,42,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Bachelor’s Degree","No"
"2","R_31FSEQwVuDezJdX","62fd19f43c6aa6d13de4cade",0.899999976158142,219,4,5,5,5,11,5,5,4,5,11,7,11,1,4,10,9,11,9,11,9,11,10,10,11,11,10,11,11,10,11,11,11,11,8,8,9,8,11,7,10,9,8,11,10,8,10,29,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Master’s Degree","No"
"3","R_3DonKi4yv0WKSK9","65304dd0cfbead1c3e3174b1",1,455,3,5,3,3,11,2,3,2,4,10,10,10,1,4,9,8,8,8,8,8,11,9,10,11,10,10,10,8,10,10,9,10,10,7,8,8,8,9,7,10,9,10,10,10,10,10,50,"Man",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,NA,"Professional Degree (J.D., M.D., etc.)","No"
"4","R_sGNV4Lvd4boqA8N","62fb316180259c21000e24ef",1,133,4,4,5,3,9,4,3,4,4,10,9,11,1,3,10,10,11,10,10,9,10,10,10,11,10,9,9,9,10,10,9,10,10,11,10,7,10,10,8,10,11,11,10,10,11,10,31,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,"Mexican","Associate’s Degree","No"
"5","R_cuTfoTapziZuN3z","5c209d9b10677f0001da5e38",0.899999976158142,259,5,5,5,5,11,5,5,4,5,11,7,11,1,4,11,11,10,10,9,11,11,11,11,10,10,11,11,11,11,10,9,9,11,10,7,7,9,9,8,7,8,7,9,11,11,11,56,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","Associate’s Degree","Yes"
"6","R_2rxApayA7CeLFXj","611323bebc984e2d39dc8958",0.800000011920929,368,1,4,3,3,11,2,2,2,4,8,10,9,1,3,9,7,8,8,8,8,9,7,9,11,7,7,9,9,10,10,10,10,10,8,9,9,7,9,7,8,10,8,10,10,10,8,53,"Woman",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,"Mexican American","High School","No"
"7","R_cXQK0Zymh2DSthL","5d1ad6202ba4ad0001d623be",0.899999976158142,337,5,5,5,5,11,5,5,5,5,11,11,11,1,5,11,9,7,7,7,11,11,11,11,11,9,7,11,11,11,11,11,11,11,7,7,7,7,11,9,11,7,7,11,11,11,11,27,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","High School","No"
"8","R_vOiTPUUBl97BzoZ","62e86c71987bb487b1ea2a4f",1,368,4,4,3,3,10,5,4,4,3,10,10,10,1,4,9,9,10,9,9,9,11,10,11,10,7,10,11,10,10,9,10,10,8,10,9,10,9,11,9,10,10,9,10,11,10,9,39,"Man",NA,"Yes",NA,NA,NA,"Latine or Hispanic",NA,NA,NA,NA,"Cuban American","Associate’s Degree","No"
"9","R_3JEs6nvmM5H56Hn","62b068bbd9bcb120d812de65",0.899999976158142,225,4,5,5,5,11,5,5,5,5,10,9,11,1,4,11,8,10,10,9,9,10,10,10,10,9,9,10,10,10,11,10,10,10,9,9,8,9,11,9,8,10,8,9,11,10,11,28,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"White","High School","Yes"
"10","R_1msFQu6ktEpAGjb","614f58eb680c4b7c505e8030",0.899999976158142,341,5,5,5,5,11,5,5,5,5,11,7,10,1,5,11,11,11,11,11,11,10,11,11,11,11,10,10,11,10,11,11,11,11,9,7,8,8,10,9,7,8,9,10,9,11,11,49,"Woman",NA,"Yes",NA,NA,NA,NA,NA,"White",NA,NA,"Human","Other option not represented here","Yes"
